Variable Name,,,,Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Share | Adults | share of total (ratio),Net personal wealth | equal-split adults | Share | Adults | share of total (ratio),Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio),Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
,CN,2015,p97p98,133125.623311,1876213.21655,231595.040964,,,,0.036653582,0.0670065209,0.0403088965,122979.304688,1660606.375,211884.59375
,CN,2015,p98p99,164584.064954,2489744.09832,292043.106746,,,,0.0453150608,0.0889179781,0.0508298241,145381.328125,2125321.75,255046.890625
,CN,2015,p1p100,36680.1356352,283598.98712,58040.0054692,30.2113456726,-5.1299238205,177.589736938,0.9998178482,1.0027085543,1.0000789165,1214.11791992,-55283.2734375,326.820709228
,CN,2015,p2p100,37040.1867276,286834.566653,58624.0106162,22.0505065918,-23.6386795044,47.1165084839,0.9994336367,1.0039048195,0.9999384284,1679.78845215,-12134.1201172,1244.23498535
,CN,2015,p3p100,37399.073071,289807.782592,59211.4634202,13.3903627396,260.866027832,29.204246521,0.9988201261,1.0039606094,0.9996528029,2792.984375,1110.94494629,2027.49499512
,CN,2015,p4p100,37756.010401,292806.405589,59803.2413255,11.096487999,105.734153748,21.5903968811,0.9979577065,1.0038912296,0.9992349148,3402.51879883,2769.26977539,2769.90014648
,CN,2015,p5p100,38115.0326318,295850.686746,60399.8024666,9.79146003723,66.819732666,17.3165931702,0.996952951,1.003762722,0.9986901879,3892.68139648,4427.59472656,3487.97265625
,CN,2015,p6p100,38476.8386126,298942.116944,61001.4807383,8.95917320251,49.1202888489,14.5434675217,0.9958226681,1.0035749674,0.9980214834,4294.68652344,6085.91943359,4194.42480469
,CN,2015,p7p100,38842.674625,302082.155999,61608.5556804,8.37767696381,38.8544464111,12.5965042114,0.9945963025,1.0033282042,0.997230649,4636.44921875,7774.71289062,4890.92480469
,CN,2015,p8p100,39212.1058293,305271.021332,62221.2913027,7.7370095253,31.6726398468,11.1457252502,0.9932595491,1.0030173063,0.9963192344,5068.12158203,9638.31933594,5582.52490234
,CN,2015,p9p100,39585.151638,308509.489443,62839.9244373,7.25783348083,26.8224182129,10.0232486725,0.99180996418,1.00263941288,0.995287835598,5454.12792969,11501.9267578,6269.41699219
,CN,2015,p10p100,39962.5613729,311799.237569,63464.6996816,6.92709827423,23.3286037445,9.13007736206,0.990263164043,1.0021957159,0.994137346745,5769.01904297,13365.5332031,6951.16796875
,CN,2015,p11p100,40345.2474208,315141.94295,64095.869398,6.66121578217,20.6933498383,8.4007692337,0.9886376858,1.0016847849,0.9928684235,6056.73925781,15229.140625,7629.76220703
,CN,2015,p12p100,40732.6157596,318518.162042,64733.6820661,6.30401277542,15.5515842438,7.79270219803,0.9869149923,1.0010409355,0.9914815426,6461.37890625,20481.3964844,8306.96191406
,CN,2015,p13p100,41124.4179096,321932.584901,65378.3784008,6.02527523041,14.6217489243,7.2779750824,0.9850851893,1.0002741814,0.9899768829,6825.31787109,22017.3789062,8983.04492188
,CN,2015,p14p100,41521.3837802,325418.228278,66030.2262943,5.81989717484,14.6162004471,6.83845424652,0.9831618667,0.9994828105,0.9883548021,7134.38427734,22264.2148438,9655.72363281
,CN,2015,p15p100,41924.3752856,328984.130627,66689.4897564,5.67074203491,14.7269010544,6.45630645752,0.9811610579,0.9986855388,0.9866155982,7393.10205078,22338.9921875,10329.3564453
,CN,2015,p16p100,42333.5244307,332634.516102,67356.4405619,5.45484256744,14.8727264404,6.12253475189,0.979080677,0.9978872538,0.9847592711,7760.72314453,22365.4023438,11001.3974609
,CN,2015,p17p100,42747.4995191,336372.149043,68031.3815456,5.23073482513,14.9480514526,5.82868671417,0.9768853188,0.9970870614,0.9827862382,8172.37011719,22502.7421875,11671.8203125
,CN,2015,p18p100,43166.9489278,340196.346129,68714.6077771,5.06574440002,14.6399030685,5.56766223907,0.9745855331,0.9962732792,0.9806963801,8521.34375,23237.609375,12341.734375
,CN,2015,p19p100,43592.8782234,344104.902102,69406.4220912,4.95046615601,14.3751029968,5.33442640305,0.9721993804,0.9954303503,0.9784898758,8805.8125,23937.5605469,13011.0380859
,CN,2015,p20p100,44025.8853104,348096.077604,70107.1661476,4.81549882889,13.3332509995,5.12419748306,0.9697344899,0.9945442677,0.976166904,9142.5390625,26107.3671875,13681.5888672
,CN,2015,p21p100,44464.4793101,352146.826135,70817.181606,4.63297319412,11.676325798,4.93479299545,0.9671527743,0.9935408831,0.9737273455,9597.39648438,30159.0449219,14350.5878906
,CN,2015,p22p100,44908.9941172,356254.538657,71536.8101262,4.50243186951,10.7653770447,4.76293611526,0.9644566178,0.9924071431,0.9711712599,9974.38574219,33092.6210938,15019.4765625
,CN,2015,p23p100,45360.6371882,360438.379173,72266.4399577,4.41166591644,10.3080034256,4.60582780838,0.9616668224,0.9911896586,0.9684987068,10281.9746094,34966.8476562,15690.2177734
,CN,2015,p24p100,45820.3170273,364712.200432,73006.4671152,4.33065509796,10.0700550079,4.46258020401,0.9587965012,0.9899172187,0.9657096863,10580.4589844,36217.5,16359.6992188
,CN,2015,p25p100,46287.7773896,369085.506785,73757.2720835,4.22672080994,9.92362976074,4.33023500443,0.9558337331,0.9886057377,0.9628037214,10951.2265625,37192.5898438,17033.0878906
,CN,2015,p26p100,46762.3893108,373564.013267,74519.2664072,4.1042304039,9.78408336639,4.2086482048,0.9527592659,0.9872604609,0.9597805142,11393.7050781,38180.7890625,17706.2246094
,CN,2015,p27p100,47243.4655889,378150.328917,75292.8926908,3.97302103043,9.59882736206,4.09529781342,0.9495533705,0.985875845,0.9566398859,11891.0683594,39395.4726562,18385.2050781
,CN,2015,p28p100,47731.5808335,382844.857513,76078.609069,3.8803319931,9.34768199921,3.99153327942,0.9462220073,0.9844421148,0.9533814788,12300.9013672,40956.1289062,19059.9960938
,CN,2015,p29p100,48227.332949,387651.978513,76876.9202664,3.77255129814,9.043217659,3.89497518539,0.942771256,0.9829464555,0.9500051737,12783.7451172,42866.5976562,19737.4609375
,CN,2015,p30p100,48729.6037763,392557.497507,77688.3620675,3.64491081238,8.72548484802,3.80562829971,0.9391732216,0.9813778996,0.9465109706,13369.2167969,44989.765625,20414.0703125
,CN,2015,p31p100,49238.7893302,397579.646701,78513.5090817,3.56959319115,8.45486354828,3.7222905159,0.9354299307,0.9797338247,0.9428988695,13793.9501953,47023.78125,21092.7949219
,CN,2015,p32p100,49757.5530034,402721.687392,79352.9359187,3.51971650124,8.25570297241,3.64495921135,0.9315854311,0.9780223966,0.9391685724,14136.8066406,48781.03125,21770.5957031
,CN,2015,p33p100,50286.7489451,407992.130012,80207.2870728,3.47659802437,8.09213829041,3.57238483429,0.9276478887,0.9762509465,0.9353201389,14464.3554688,50418.3320312,22452.0292969
,CN,2015,p34p100,50826.69552,413397.403977,81077.2303334,3.42381620407,7.9365773201,3.50502109528,0.9236141443,0.9744209647,0.9313533902,14845.0419922,52087.6171875,23131.7382812
,CN,2015,p35p100,51377.4121406,418942.35464,81963.4645501,3.3770904541,7.77370643616,3.4421236515,0.919475913,0.9725289941,0.9272681475,15213.5136719,53892.2265625,23811.8886719
,CN,2015,p36p100,51939.1550518,424630.98874,82866.766222,3.31919932365,7.59983348846,3.38329958916,0.9152286649,0.970569253,0.9230644107,15648.0976562,55873.7226562,24492.8847656
,CN,2015,p37p100,52511.3147014,430467.561493,83787.9196136,3.25221586227,7.42232942581,3.3285574913,0.9108528495,0.968536377,0.9187420607,16146.3193359,57996.2890625,25172.4414062
,CN,2015,p38p100,53093.9221496,436457.850053,84727.786639,3.1926317215,7.25878000259,3.2768008709,0.906340301,0.9664266109,0.9143009782,16630.1425781,60128.265625,25856.8613281
,CN,2015,p39p100,53687.5830657,442611.110293,85687.2447426,3.13014292717,7.13650035858,3.22821140289,0.9016925097,0.9642441869,0.909740746,17151.7988281,62020.75,26543.2578125
,CN,2015,p40p100,54291.6335429,448941.4745,86667.2800784,3.06051445007,7.06840133667,3.18320703506,0.8968894482,0.9620019197,0.9050614834,17739.3808594,63513.8632812,27226.4042969
,CN,2015,p41p100,54906.4463009,455462.267404,87668.9331556,3.00059127808,7.01391124725,3.14099431038,0.8919287324,0.9597083926,0.9002629519,18298.5429688,64936.9882812,27911.2050781
,CN,2015,p42p100,55532.3397042,462181.502476,88693.3066033,2.93267631531,6.93766403198,3.10139250755,0.8868062496,0.9573603272,0.8953451514,18935.7207031,66619.1796875,28597.8984375
,CN,2015,p43p100,56168.9720934,469103.155394,89741.5574053,2.87391424179,6.82226514816,3.0640232563,0.8815076947,0.954944551,0.8903076649,19544.4140625,68760.6171875,29288.7988281
,CN,2015,p44p100,56818.952506,476229.276116,90814.9512558,2.8429813385,6.67047643661,3.02959156036,0.8760643601,0.9524431825,0.8851503134,19985.6933594,71393.59375,29975.9707031
,CN,2015,p45p100,57485.0879872,483563.405478,91914.8392634,2.8198184967,6.50516796112,2.99725365639,0.8705077767,0.9498413205,0.8798729777,20386.0957031,74335.265625,30666.3535156
,CN,2015,p46p100,58167.933734,491115.078894,93042.6890119,2.79090809822,6.36731481552,2.96706581116,0.8648328185,0.9471350312,0.8744755387,20841.9375,77130.640625,31358.4863281
,CN,2015,p47p100,58867.5208065,498905.230784,94199.999145,2.75755667686,6.29729700089,2.93882060051,0.8590261936,0.9443410635,0.8689572215,21347.7109375,79225.296875,32053.6738281
,CN,2015,p48p100,59583.752142,506959.889406,95388.4158414,2.71966910362,6.26922798157,2.91213440895,0.8530725241,0.9414815903,0.8633176684,21908.4570312,80864.8046875,32755.4980469
,CN,2015,p49p100,60316.4996184,515299.057383,96609.4610396,2.67724609375,6.24696779251,2.88587808609,0.8469564319,0.9385650754,0.8575540185,22529.3066406,82487.8671875,33476.625
,CN,2015,p50p100,61065.5496982,523936.711703,97864.6023235,2.63027358055,6.20666503906,2.85881233215,0.8406612873,0.9355859756,0.8516620398,23216.4257812,84415.171875,34232.609375
,CN,2015,p51p100,61830.1181171,532882.977917,99155.2451568,2.57658791542,6.1388759613,2.83136153221,0.8341630101,0.9325299859,0.8456359506,23996.8984375,86804.6484375,35020.3398438
,CN,2015,p52p100,62609.5914407,542147.670976,100482.895948,2.52003312111,6.05106687546,2.80363583565,0.8274406791,0.9293808341,0.8394697309,24844.75,89595.3828125,35840.2109375
,CN,2015,p53p100,63403.8143691,551745.823909,101849.239701,2.46458768845,5.96883153915,2.77563881874,0.8204800487,0.9261296391,0.833157897,25725.9316406,92437.828125,36693.9804688
,CN,2015,p54p100,64212.8296097,561703.775572,103256.062364,2.40874552727,5.9209485054,2.7474963665,0.8132693768,0.9227839708,0.8266944885,26658.2050781,94867.1953125,37581.875
,CN,2015,p55p100,65036.5905727,572050.784459,104705.375071,2.35366415977,5.87427759171,2.71971035004,0.805795908,0.919352293,0.8200742006,27632.0605469,97382.3203125,38498.7226562
,CN,2015,p56p100,65875.5320975,582804.244157,106199.305429,2.30183053017,5.79629659653,2.6919593811,0.7980527282,0.9158203006,0.8132910728,28618.7578125,100547.695312,39450.5585938
,CN,2015,p57p100,66730.5355111,593975.522614,107740.144112,2.25473356247,5.6883354187,2.66407346725,0.7900377512,0.9121618271,0.8063389659,29595.7519531,104419.921875,40441.8828125
,CN,2015,p58p100,67603.3440543,605595.555565,109330.406977,2.21225357056,5.58880758286,2.6367995739,0.7817578316,0.9083608389,0.7992118597,30558.5878906,108358.632812,41463.296875
,CN,2015,p59p100,68494.9050563,617671.362563,110972.765183,2.17151260376,5.53753232956,2.60938549042,0.7732089758,0.9044325948,0.7919028997,31542.4863281,111542.710938,42528.3125
,CN,2015,p60p100,69406.2823213,630285.501018,112670.161661,2.13300275803,5.49281930923,2.58233523369,0.764387548,0.9003931284,0.7844054103,32539.2363281,114747.179688,43631.1132812
,CN,2015,p61p100,70339.0288479,643456.606913,114425.756763,2.09901022911,5.42575073242,2.55538439751,0.7552934885,0.8962284923,0.7767121196,33510.5703125,118593.101562,44778.296875
,CN,2015,p62p100,71296.1652184,657213.006944,116243.005913,2.07190132141,5.35128068924,2.52884817123,0.7459411025,0.8919174075,0.7688153982,34410.984375,122814.15625,45966.78125
,CN,2015,p63p100,72281.9233543,671606.819746,118125.682896,2.05219936371,5.31607675552,2.50210952759,0.736353159,0.8874659538,0.7607074976,35221.6875,126335.046875,47210.4375
,CN,2015,p64p100,73300.504117,686706.00454,120077.941985,2.03607463837,5.28826141357,2.47613143921,0.7265478373,0.8828933239,0.7523802519,36000.8945312,129854.773438,48494.171875
,CN,2015,p65p100,74355.3939883,702554.914968,122104.271344,2.023001194,5.23160123825,2.45032048225,0.7165315151,0.8781792521,0.7438246608,36754.9921875,134290.609375,49831.9609375
,CN,2015,p66p100,75450.9413647,719197.594073,124209.656101,2.01512289047,5.1739730835,2.42473340034,0.7063148618,0.8732970953,0.7350314856,37442.3515625,139002.96875,51226.109375
,CN,2015,p67p100,76593.0165809,736721.009779,126399.632695,2.00970602036,5.15409421921,2.39986205101,0.6959177256,0.8682641387,0.7259912491,38111.5507812,142938.984375,52669.5390625
,CN,2015,p68p100,77782.5592013,755190.51227,128680.250055,1.99695897102,5.07203245163,2.37491321564,0.6853098273,0.8630607724,0.7166935802,38950.5039062,148893.078125,54183.1367188
,CN,2015,p69p100,79021.1144595,774638.279679,131058.271492,1.98401236534,4.9910902977,2.35072827339,0.6744652987,0.8576212525,0.7071275711,39828.9414062,155204.21875,55752.1992188
,CN,2015,p70p100,80312.1610724,795239.862973,133541.236813,1.97063279152,5.04320144653,2.32660961151,0.6633722782,0.8520287871,0.6972817183,40754.5039062,157685.53125,57397.3554688
,CN,2015,p71p100,81660.0474364,817172.055522,136137.710807,1.9585391283,5.06674194336,2.30332136154,0.6520222425,0.8463429213,0.6871445179,41694.3671875,161281.5625,59104.9570312
,CN,2015,p72p100,83070.3565816,840481.695764,138857.135704,1.94762527943,5.0015835762,2.28029990196,0.6404111385,0.8404679894,0.6767026782,42652.125,168043.109375,60894.2421875
,CN,2015,p73p100,84549.2306178,865273.08309,141710.242727,1.9376745224,4.97270727158,2.25766587257,0.6285331845,0.8343568444,0.6659423709,43634.3828125,174004.421875,62768.4726562
,CN,2015,p74p100,86103.1688443,891702.759764,144709.238443,1.92741262913,4.87688827515,2.23599171638,0.6163781881,0.8279961944,0.6548491716,44672.9296875,182842.5625,64718.1484375
,CN,2015,p75p100,87738.6705605,919907.20331,147868.161962,1.91707491875,4.84829139709,2.21475219727,0.6039289236,0.8213322759,0.6434078217,45766.9492188,189738.4375,66765.1015625
,CN,2015,p76p100,89463.9511295,950130.545117,151202.99364,1.90736341476,4.75312042236,2.19381093979,0.5911723375,0.8143842816,0.6316016912,46904.5117188,199896.15625,68922.5234375
,CN,2015,p77p100,91288.7245577,982649.715906,154732.19863,1.89825677872,4.81186246872,2.17422270775,0.5780957341,0.8071633577,0.6194128394,48090.8203125,204214.015625,71166.671875
,CN,2015,p78p100,93224.4209153,1017771.46397,158477.270434,1.88997340202,4.7019443512,2.15535521507,0.5646861792,0.7996644974,0.6068220139,49325.7851562,216457.5625,73527.21875
,CN,2015,p79p100,95284.7764756,1055753.46286,162463.600581,1.88387191296,4.68488168716,2.13705158234,0.5509314537,0.7918021679,0.5938093066,50579.2226562,225353.28125,76022.3125
,CN,2015,p80p100,97491.2536801,1096964.95352,166720.882404,1.88458359241,4.67605733871,2.12011098862,0.5368468761,0.7835335732,0.5803521872,51730.9257812,234591.859375,78637.8125
,CN,2015,p81p100,99868.9023971,1142200.57432,171284.648512,1.88743567467,4.70472431183,2.10408425331,0.5224426985,0.775052011,0.5664266944,52912.4804688,242777.375,81405.7890625
,CN,2015,p82p100,102442.850145,1191818.13614,176197.373421,1.89053487778,4.68846750259,2.08925700188,0.5077020526,0.7661562562,0.5520057082,54187.2304688,254202.078125,84334.9453125
,CN,2015,p83p100,105240.235575,1246626.56493,181510.663274,1.89249074459,4.68186426163,2.07581853867,0.4925899208,0.7568680644,0.5370599031,55609.3789062,266267.125,87440.5234375
